Username,Email,Password (SHA-256 Hashed),Role,User_ID,Phone_number,Otp_Code,Is_Verified,Date_Joined,Last_Login,Project_Name,Project_ID,Status,Project_Description,Task_Name,Task_Status,Task_ID,Time_Logged,Clock_In   ,Clock_Out,Location,Approved,Attendance_Change_Date,Attendance_Change_Status,Attendance_Date,Attendance_Status,Leave_Start_Date,Leave_End_Date,Leave_Reason,Leave_Status,Alert_Type,Alert_Message, Alert_Timestamp,Start_Date,End_Date,Report_Type,File_Path,Prediction_Type,Predicted_Value,Timestamp,System,Action,Request_Data,Response_Data,Status,Alert_Timestamp
debrajackson,desireebright@stewart-cooper.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,39,123456789,ABCD1272,FALSE,29-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,To Do,103,38,08-04-2024 09:00,07-03-2024 18:00,Office,FALSE,12-04-2024,Present,12-04-2024,Late,17-04-2024,19-04-2024,Family Emergency,Approved,Overtime,User has exceeded work hours,12-04-2024 08:00,08-04-2024,12-04-2024,overtime,overtime_report.xlsx,project_delay,45.5,17-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,17-04-2024 12:00
plewis,hogananthony@harris.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,40,123456789,ABCD1273,FALSE,30-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,39,09-04-2024 09:00,08-03-2024 18:00,Office,FALSE,13-04-2024,Present,13-04-2024,Late,18-04-2024,20-04-2024,Family Emergency,Approved,Overtime,User has exceeded work hours,13-04-2024 08:00,09-04-2024,13-04-2024,overtime,overtime_report.xlsx,project_delay,46.5,18-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,18-04-2024 12:00
davismonica,markhammond@hotmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,41,123456789,ABCD1274,FALSE,31-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,40,10-04-2024 09:00,09-03-2024 18:00,Office,FALSE,14-04-2024,Present,14-04-2024,Late,19-04-2024,21-04-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,14-04-2024 08:00,10-04-2024,14-04-2024,overtime,overtime_report.xlsx,project_delay,47.5,19-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,19-04-2024 12:00
denise14,christian04@olsen.info,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,42,123456789,ABCD1275,FALSE,01-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,41,11-04-2024 09:00,10-03-2024 18:00,Office,FALSE,15-04-2024,Present,15-04-2024,Late,20-04-2024,22-04-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,15-04-2024 08:00,11-04-2024,15-04-2024,overtime,overtime_report.xlsx,project_delay,48.5,20-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,20-04-2024 12:00
matthewdavis,lisadunn@hotmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,43,123456789,ABCD1276,FALSE,02-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,42,12-04-2024 09:00,11-03-2024 18:00,Remote,FALSE,16-04-2024,Late,16-04-2024,Late,21-04-2024,23-04-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,16-04-2024 08:00,12-04-2024,16-04-2024,overtime,overtime_report.xlsx,project_delay,49.5,21-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,21-04-2024 12:00
samuel50,yglass@wilson-whitehead.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,44,123456789,ABCD1277,FALSE,03-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,43,13-04-2024 09:00,12-03-2024 18:00,Remote,FALSE,17-04-2024,Late,17-04-2024,Late,22-04-2024,24-04-2024,Medical Leave,Pending,Overtime,User has exceeded work hours,17-04-2024 08:00,13-04-2024,17-04-2024,overtime,overtime_report.xlsx,project_delay,50.5,22-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,22-04-2024 12:00
goldendavid,paulsaunders@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,45,123456789,ABCD1278,FALSE,04-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,44,14-04-2024 09:00,13-03-2024 18:00,Remote,FALSE,18-04-2024,Late,18-04-2024,Late,23-04-2024,25-04-2024,Medical Leave,Pending,Overtime,User has exceeded work hours,18-04-2024 08:00,14-04-2024,18-04-2024,overtime,overtime_report.xlsx,project_delay,51.5,23-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,23-04-2024 12:00
harrislance,bishopjennifer@coffey-stephenson.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,46,123456789,ABCD1279,FALSE,05-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,45,15-04-2024 09:00,14-03-2024 18:00,Remote,FALSE,19-04-2024,Late,19-04-2024,Late,24-04-2024,26-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,19-04-2024 08:00,15-04-2024,19-04-2024,overtime,overtime_report.xlsx,project_delay,52.5,24-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,24-04-2024 12:00
padams,carolyn51@nolan.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,47,123456789,ABCD1280,FALSE,06-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,46,16-04-2024 09:00,15-03-2024 18:00,Remote,FALSE,20-04-2024,Late,20-04-2024,Late,25-04-2024,27-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,20-04-2024 08:00,16-04-2024,20-04-2024,overtime,overtime_report.xlsx,project_delay,53.5,25-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,25-04-2024 12:00
robertoanderson,xfields@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,48,123456789,ABCD1281,FALSE,07-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,47,17-04-2024 09:00,16-03-2024 18:00,Remote,FALSE,21-04-2024,Late,21-04-2024,Late,26-04-2024,28-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,21-04-2024 08:00,17-04-2024,21-04-2024,overtime,overtime_report.xlsx,project_delay,54.5,26-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,26-04-2024 12:00
lmoody,thompsonanna@hotmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,49,123456789,ABCD1282,FALSE,08-04-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,48,18-04-2024 09:00,17-03-2024 18:00,Remote,FALSE,22-04-2024,Late,22-04-2024,Late,27-04-2024,29-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,22-04-2024 08:00,18-04-2024,22-04-2024,overtime,overtime_report.xlsx,project_delay,55.5,27-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,27-04-2024 12:00
sara49,danielparker@hotmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,50,123456789,ABCD1283,FALSE,09-04-2024,9:30 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,49,19-04-2024 09:00,18-03-2024 18:00,Remote,FALSE,23-04-2024,Late,23-04-2024,Late,28-04-2024,30-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,23-04-2024 08:00,19-04-2024,23-04-2024,overtime,overtime_report.xlsx,project_delay,56.5,28-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,28-04-2024 12:00
Rahul_Goswami,nehagoswami226@gmail.com,Rahul@2007,employee,51,8610346885,ABCD1284,FALSE,10-04-2024,9:30 PM,Mobile App Development,2,Not completed,Building new app,Time Tracking,To Do,104,50,20-02-2024 09:00,03-03-2024 18:00,Remote,FALSE,24-04-2024,Late,02-02-2024,Late,29-04-2024,01-05-2024,Medical Leave,Pending,Clock-in,User has clocked in.,24-04-2024 08:00,20-02-2024,24-04-2024,overtime,overtime_report.xlsx,project_delay,57.5,02-03-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""Rahul_Goswami"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,02-03-2024 12:00
